Wed Jun  2 11:05:12 EDT 1993
Astronomical silicate                   
Computed by B.T.Draine (cf Laor, A., & Draine, B.T. 1993, ApJ 402,441)
  21 1.000E-03 1.000E+01 = NRAD, a_1 (micron), a_NRAD (micron)
 241 1.000E+03 1.000E-03 = NWAV, w_1 (micron), w_NWAV (micron)

1.000E-03 = radius(micron) Astronomical silicate                   
w(micron)  Q_abs     Q_sca     g=<cos>
1.884E-02 4.621E-02 6.788E-05  1.77E-02
1.778E-02 4.355E-02 7.391E-05  1.98E-02
1.679E-02 4.108E-02 7.732E-05  2.23E-02
1.585E-02 3.874E-02 7.993E-05  2.51E-02
1.496E-02 3.647E-02 8.210E-05  2.82E-02
1.413E-02 3.421E-02 8.302E-05  3.17E-02
1.334E-02 3.362E-02 8.390E-05  3.57E-02
1.259E-02 3.278E-02 9.095E-05  4.01E-02
1.189E-02 3.047E-02 9.490E-05  4.51E-02
1.122E-02 2.814E-02 9.038E-05  5.08E-02
1.059E-02 3.399E-02 9.714E-05  5.72E-02
1.000E-02 3.164E-02 1.220E-04  6.42E-02
9.441E-03 2.917E-02 1.307E-04  7.23E-02
8.913E-03 2.677E-02 1.350E-04  8.13E-02
8.414E-03 2.446E-02 1.369E-04  9.15E-02
7.943E-03 2.228E-02 1.367E-04  1.03E-01
7.499E-03 2.025E-02 1.316E-04  1.16E-01
7.079E-03 2.009E-02 1.413E-04  1.31E-01
6.683E-03 1.821E-02 1.425E-04  1.47E-01
6.310E-03 1.648E-02 1.411E-04  1.65E-01
5.957E-03 1.490E-02 1.385E-04  1.86E-01
5.623E-03 1.340E-02 1.345E-04  2.09E-01
5.309E-03 1.205E-02 1.295E-04  2.35E-01
5.012E-03 1.083E-02 1.237E-04  2.65E-01
4.732E-03 9.713E-03 1.173E-04  2.97E-01
4.467E-03 8.692E-03 1.103E-04  3.33E-01
4.217E-03 7.766E-03 1.029E-04  3.72E-01
3.981E-03 6.924E-03 9.523E-05  4.14E-01
3.758E-03 6.160E-03 8.741E-05  4.59E-01
3.548E-03 5.468E-03 7.953E-05  5.06E-01
3.350E-03 4.842E-03 7.186E-05  5.54E-01
3.162E-03 4.281E-03 6.450E-05  6.01E-01
2.985E-03 3.786E-03 5.770E-05  6.46E-01
2.818E-03 3.323E-03 5.077E-05  6.86E-01
2.661E-03 2.898E-03 4.406E-05  7.20E-01
2.512E-03 2.536E-03 3.656E-05  7.47E-01
2.371E-03 2.217E-03 2.202E-05  7.67E-01
2.239E-03 5.255E-03 3.253E-05  7.82E-01
2.113E-03 4.690E-03 3.400E-05  7.94E-01
1.995E-03 4.154E-03 3.314E-05  8.06E-01
1.884E-03 3.660E-03 3.020E-05  8.21E-01
1.778E-03 3.209E-03 2.612E-05  8.38E-01
1.679E-03 2.802E-03 1.634E-05  8.56E-01
1.585E-03 4.486E-03 2.591E-05  8.72E-01
1.496E-03 3.923E-03 2.438E-05  8.85E-01
1.413E-03 3.809E-03 2.517E-05  8.94E-01
1.334E-03 3.337E-03 2.398E-05  9.01E-01
1.259E-03 2.914E-03 2.224E-05  9.08E-01
1.189E-03 2.540E-03 2.043E-05  9.17E-01
1.122E-03 2.196E-03 1.855E-05  9.27E-01
1.059E-03 1.896E-03 1.668E-05  9.34E-01
1.000E-03 1.629E-03 1.469E-05  9.38E-01

1.585E-03 = radius(micron) Astronomical silicate                   
w(micron)  Q_abs     Q_sca     g=<cos>
1.000E+03 2.172E-07 1.596E-20  0.00E+00
9.441E+02 2.437E-07 2.010E-20  0.00E+00
8.913E+02 2.735E-07 2.530E-20  0.00E+00
8.414E+02 3.069E-07 3.185E-20  0.00E+00
7.943E+02 3.444E-07 4.010E-20  0.00E+00
7.499E+02 3.865E-07 5.048E-20  0.00E+00
7.079E+02 4.337E-07 6.355E-20  0.00E+00
6.683E+02 4.866E-07 8.001E-20  0.00E+00
6.310E+02 5.461E-07 1.007E-19  0.00E+00
5.957E+02 6.127E-07 1.268E-19  0.00E+00
5.623E+02 6.876E-07 1.597E-19  0.00E+00
5.309E+02 7.716E-07 2.010E-19  0.00E+00
5.012E+02 8.659E-07 2.531E-19  0.00E+00
4.732E+02 9.719E-07 3.186E-19  0.00E+00
4.467E+02 1.091E-06 4.011E-19  0.00E+00
4.217E+02 1.224E-06 5.049E-19  0.00E+00
3.981E+02 1.374E-06 6.357E-19  0.00E+00
3.758E+02 1.542E-06 8.004E-19  0.00E+00
3.548E+02 1.731E-06 1.008E-18  0.00E+00
3.350E+02 1.944E-06 1.269E-18  0.00E+00
3.162E+02 2.183E-06 1.597E-18  0.00E+00
2.985E+02 2.451E-06 2.011E-18  0.00E+00
2.818E+02 2.752E-06 2.532E-18  0.00E+00
2.661E+02 3.090E-06 3.189E-18  0.00E+00
2.512E+02 3.469E-06 4.015E-18  0.00E+00
2.371E+02 3.897E-06 5.055E-18  0.00E+00
2.239E+02 4.379E-06 6.365E-18  0.00E+00
2.113E+02 4.920E-06 8.014E-18  0.00E+00
1.995E+02 5.529E-06 1.009E-17  0.00E+00
1.884E+02 6.213E-06 1.271E-17  0.00E+00
1.778E+02 6.981E-06 1.600E-17  0.00E+00
1.679E+02 7.848E-06 2.015E-17  0.00E+00
1.585E+02 8.826E-06 2.538E-17  0.00E+00
1.496E+02 9.928E-06 3.196E-17  0.00E+00
1.413E+02 1.117E-05 4.025E-17  0.00E+00
1.334E+02 1.257E-05 5.069E-17  0.00E+00
1.259E+02 1.415E-05 6.384E-17  0.00E+00
1.189E+02 1.594E-05 8.042E-17  0.00E+00
1.122E+02 1.795E-05 1.013E-16  0.00E+00
1.059E+02 2.023E-05 1.276E-16  0.00E+00
1.000E+02 2.281E-05 1.607E-16  0.00E+00
9.441E+01 2.574E-05 2.024E-16  0.00E+00
8.913E+01 2.905E-05 2.550E-16  0.00E+00
8.414E+01 3.281E-05 3.212E-16  0.00E+00
7.943E+01 3.707E-05 4.045E-16  0.00E+00
7.499E+01 4.187E-05 5.095E-16  0.00E+00
7.079E+01 4.735E-05 6.416E-16  0.00E+00
6.683E+01 5.358E-05 8.077E-16  0.00E+00
6.310E+01 6.061E-05 1.017E-15  0.00E+00
5.957E+01 6.856E-05 1.279E-15  0.00E+00
5.623E+01 7.756E-05 1.609E-15  0.00E+00
5.309E+01 8.770E-05 2.022E-15  0.00E+00
5.012E+01 9.906E-05 2.541E-15  0.00E+00
4.732E+01 1.119E-04 3.191E-15  0.00E+00
4.467E+01 1.263E-04 4.004E-15  0.00E+00
4.217E+01 1.424E-04 5.022E-15  0.00E+00
3.981E+01 1.603E-04 6.283E-15  0.00E+00
3.758E+01 1.800E-04 7.856E-15  0.00E+00
3.548E+01 2.011E-04 9.849E-15  0.00E+00
3.350E+01 2.251E-04 1.235E-14  0.00E+00
